track 1;
0 0.;
16 0.;
17 0.;
17 0.;
15 0.;
18 0.;
17 0.;
16 0.;
17 0.;
16 0.;
17 0.;
16 0.;
17 0.;
17 0.;
17 0.;
17 0.;
17 0.;
15 0.;
16 0.;
19 0.;
17 0.;
16 0.;
17 0.;
17 0.;
15 0.;
18 0.;
17 0.;
16 0.;
17 0.;
17 0.;
15 0.;
17 0.;
18 0.;
16 0.;
16 0.;
17 0.;
18 0.;
15 0.;
16 0.;
17 0.;
17 0.;
16 0.;
16 0.;
17 0.;
17 0.;
16 0.;
17 0.;
16 0.;
17 0.;
17 0.;
16 0.;
16 0.;
18 0.;
17 0.;
17 0.;
17 0.;
17 0.;
15 0.;
18 0.;
16 0.;
17 0.;
16 0.;
16 0.;
18 0.;
15 0.;
18 0.;
17 0.;
17 0.;
17 0.;
18 0.;
15 0.;
17 0.;
16 0.;
18 0.;
16 0.;
17 0.;
17 0.;
17 0.;
13 0.;
19 0.;
16 0.;
16 0.;
16 0.;
18 0.;
16 0.;
15 0.;
19 0.;
17 0.;
16 0.;
18 0.;
16 0.;
16 0.;
18 0.;
16 0.;
17 0.;
18 0.;
17 0.;
15 0.;
17 0.;
18 0.;
16 0.;
17 0.;
17 0.;
17 0.;
17 0.;
16 0.;
17 0.;
16 0.;
16 0.;
17 0.;
16 0.;
18 0.;
16 0.;
16 0.;
16 0.;
17 0.;
16 0.;
17 0.;
16 0.;
16 0.;
17 0.;
18 0.;
17 0.;
16 0.;
16 0.;
18 0.;
15 0.;
17 0.;
16 0.;
18 0.;
16 0.;
17 0.;
17 0.;
17 0.;
17 0.;
16 0.;
17 0.;
16 0.;
18 0.;
16 0.;
18 0.;
15 0.;
17 0.;
17 0.;
17 0.;
17 -0.020693;
16 -0.020693;
17 -0.020693;
17 -0.020693;
16 -0.025804;
17 -0.025804;
16 -0.025804;
17 -0.025804;
16 -0.032416;
17 -0.032416;
17 -0.032416;
16 -0.032416;
17 -0.039223;
17 -0.039223;
15 -0.039223;
18 -0.039223;
16 -0.045797;
17 -0.045797;
16 -0.045797;
17 -0.045797;
17 -0.055723;
16 -0.055723;
17 -0.055723;
17 -0.055723;
17 -0.060592;
16 -0.060592;
17 -0.060592;
15 -0.060592;
17 -0.0749;
17 -0.0749;
16 -0.0749;
15 -0.0749;
21 -0.077122;
14 -0.077122;
16 -0.077122;
17 -0.077122;
18 -0.091726;
14 -0.091726;
19 -0.091726;
16 -0.091726;
16 -0.091726;
16 -0.098107;
17 -0.098107;
17 -0.098107;
16 -0.11215;
17 -0.11215;
17 -0.11215;
16 -0.11215;
17 -0.117079;
17 -0.117079;
15 -0.117079;
16 -0.117079;
18 -0.123247;
17 -0.123247;
16 -0.123247;
16 -0.123247;
18 -0.125927;
16 -0.125927;
17 -0.125927;
18 -0.125927;
16 -0.125037;
17 -0.125037;
16 -0.125037;
17 -0.125037;
16 -0.119926;
18 -0.119926;
16 -0.119926;
15 -0.119926;
17 -0.112252;
18 -0.112252;
16 -0.112252;
17 -0.112252;
17 -0.112252;
16 -0.100946;
17 -0.100946;
15 -0.100946;
18 -0.089085;
17 -0.089085;
17 -0.089085;
18 -0.089085;
16 -0.073893;
18 -0.073893;
16 -0.073893;
17 -0.073893;
16 -0.058487;
17 -0.058487;
17 -0.058487;
17 -0.058487;
16 -0.041348;
17 -0.041348;
16 -0.041348;
17 -0.041348;
17 -0.041348;
15 -0.025208;
18 -0.025208;
16 -0.025208;
17 -0.00521;
16 -0.00521;
17 -0.00521;
17 -0.00521;
17 0.008951;
15 0.008951;
18 0.008951;
17 0.008951;
16 0.020197;
17 0.020197;
17 0.020197;
17 0.020197;
16 0.027577;
16 0.027577;
17 0.027577;
17 0.027577;
18 0.031792;
16 0.031792;
17 0.031792;
16 0.031792;
16 0.031792;
17 0.032504;
16 0.032504;
18 0.032504;
16 0.030631;
17 0.030631;
16 0.030631;
15 0.030631;
18 0.024849;
16 0.024849;
18 0.024849;
15 0.024849;
17 0.018512;
17 0.018512;
16 0.018512;
17 0.018512;
17 0.012065;
15 0.012065;
17 0.012065;
17 0.012065;
20 0.004502;
12 0.004502;
18 0.004502;
17 0.004502;
16 -0.001503;
18 -0.001503;
16 -0.001503;
16 -0.001503;
18 -0.008068;
17 -0.008068;
15 -0.008068;
18 -0.008068;
16 -0.016296;
17 -0.016296;
17 -0.016296;
17 -0.016296;
16 -0.027819;
17 -0.027819;
17 -0.027819;
15 -0.027819;
18 -0.037951;
16 -0.037951;
18 -0.037951;
15 -0.037951;
17 -0.045701;
15 -0.045701;
19 -0.045701;
16 -0.045701;
16 -0.052331;
18 -0.052331;
15 -0.052331;
17 -0.052331;
16 -0.057145;
16 -0.057145;
17 -0.057145;
18 -0.057145;
17 -0.059594;
16 -0.059594;
17 -0.059594;
15 -0.059594;
18 -0.060414;
17 -0.060414;
16 -0.060414;
17 -0.060414;
16 -0.059354;
18 -0.059354;
15 -0.059354;
18 -0.059354;
16 -0.055777;
17 -0.055777;
15 -0.055777;
17 -0.055777;
17 -0.049945;
17 -0.049945;
17 -0.049945;
16 -0.049945;
19 -0.041341;
14 -0.041341;
16 -0.041341;
17 -0.041341;
17 -0.041341;
17 -0.029439;
17 -0.029439;
16 -0.029439;
17 -0.011534;
16 -0.011534;
17 -0.011534;
16 -0.011534;
19 -0.011534;
16 0.0019;
16 0.0019;
17 0.0019;
16 0.020935;
18 0.020935;
16 0.020935;
17 0.020935;
16 0.048833;
16 0.048833;
17 0.048833;
17 0.048833;
17 0.064952;
16 0.064952;
17 0.064952;
17 0.064952;
16 0.077525;
17 0.077525;
17 0.077525;
17 0.077525;
17 0.089978;
15 0.089978;
18 0.089978;
17 0.089978;
17 0.100731;
16 0.100731;
17 0.100731;
17 0.100731;
16 0.113019;
17 0.113019;
15 0.113019;
19 0.113019;
17 0.126894;
15 0.126894;
18 0.126894;
16 0.126894;
16 0.140405;
16 0.140405;
19 0.140405;
16 0.140405;
16 0.15771;
17 0.15771;
14 0.15771;
18 0.15771;
19 0.16835;
16 0.16835;
16 0.16835;
17 0.16835;
17 0.176105;
18 0.176105;
15 0.176105;
17 0.176105;
18 0.180356;
16 0.180356;
16 0.180356;
18 0.180356;
16 0.183336;
18 0.183336;
16 0.183336;
16 0.183336;
16 0.18373;
19 0.18373;
16 0.18373;
17 0.18373;
17 0.16101;
17 0.16101;
16 0.16101;
16 0.16101;
18 0.148137;
16 0.148137;
17 0.148137;
17 0.148137;
16 0.148137;
16 0.139445;
18 0.139445;
16 0.139445;
17 0.134248;
17 0.134248;
18 0.134248;
15 0.134248;
17 0.151171;
16 0.151171;
17 0.151171;
17 0.151171;
18 0.144332;
16 0.144332;
16 0.144332;
17 0.144332;
19 0.141789;
15 0.141789;
18 0.141789;
16 0.141789;
16 0.14089;
17 0.14089;
17 0.14089;
16 0.14089;
16 0.140683;
18 0.140683;
15 0.140683;
17 0.140683;
17 0.14119;
17 0.14119;
17 0.14119;
16 0.14119;
18 0.14416;
16 0.14416;
15 0.14416;
17 0.14416;
18 0.14789;
16 0.14789;
15 0.14789;
17 0.14789;
16 0.152757;
18 0.152757;
16 0.152757;
16 0.152757;
17 0.158043;
18 0.158043;
16 0.158043;
15 0.158043;
18 0.16319;
15 0.16319;
18 0.16319;
16 0.16319;
20 0.167677;
14 0.167677;
18 0.167677;
15 0.167677;
17 0.17328;
17 0.17328;
16 0.17328;
19 0.17328;
15 0.182297;
17 0.182297;
17 0.182297;
17 0.182297;
16 0.196197;
17 0.196197;
17 0.196197;
17 0.196197;
17 0.213569;
17 0.213569;
17 0.213569;
16 0.213569;
16 0.231201;
16 0.231201;
17 0.231201;
17 0.231201;
16 0.251355;
18 0.251355;
16 0.251355;
17 0.251355;
17 0.269437;
15 0.269437;
19 0.269437;
15 0.269437;
17 0.285703;
17 0.285703;
17 0.285703;
16 0.285703;
16 0.300177;
17 0.300177;
17 0.300177;
15 0.300177;
18 0.312992;
15 0.312992;
16 0.312992;
18 0.312992;
18 0.312992;
16 0.324609;
17 0.324609;
16 0.324609;
17 0.334634;
15 0.334634;
17 0.334634;
17 0.334634;
17 0.343231;
15 0.343231;
17 0.343231;
17 0.343231;
18 0.350695;
15 0.350695;
17 0.350695;
16 0.350695;
16 0.350695;
18 0.356373;
16 0.356373;
17 0.356373;
16 0.360683;
17 0.360683;
17 0.360683;
16 0.360683;
18 0.36364;
16 0.36364;
16 0.36364;
18 0.36364;
16 0.365641;
16 0.365641;
17 0.365641;
17 0.365641;
18 0.365641;
15 0.367053;
16 0.367053;
16 0.367053;
19 0.367939;
18 0.367939;
15 0.367939;
17 0.367939;
17 0.36825;
16 0.36825;
17 0.36825;
17 0.36825;
17 0.367508;
16 0.367508;
16 0.367508;
19 0.367508;
16 0.367508;
18 0.366298;
15 0.366298;
17 0.366298;
16 0.364881;
18 0.364881;
14 0.364881;
19 0.364881;
17 0.363724;
16 0.363724;
16 0.363724;
16 0.363724;
16 0.362603;
19 0.362603;
17 0.362603;
16 0.362603;
16 0.361817;
17 0.361817;
15 0.361817;
17 0.361817;
17 0.361415;
15 0.361415;
19 0.361415;
16 0.361415;
19 0.361415;
12 0.362047;
20 0.362047;
16 0.362047;
17 0.363123;
17 0.363123;
16 0.363123;
16 0.363123;
16 0.366148;
19 0.366148;
15 0.366148;
17 0.366148;
16 0.368518;
18 0.368518;
17 0.368518;
16 0.368518;
17 0.370448;
18 0.370448;
16 0.370448;
17 0.370448;
17 0.371375;
17 0.371375;
15 0.371375;
20 0.371375;
15 0.371217;
17 0.371217;
15 0.371217;
18 0.371217;
16 0.367767;
17 0.367767;
17 0.367767;
17 0.367767;
16 0.36015;
17 0.36015;
16 0.36015;
15 0.36015;
19 0.347537;
16 0.347537;
18 0.347537;
15 0.347537;
17 0.323417;
17 0.323417;
17 0.323417;
18 0.323417;
16 0.295483;
16 0.295483;
17 0.295483;
16 0.295483;
18 0.263999;
17 0.263999;
16 0.263999;
17 0.263999;
17 0.237791;
17 0.237791;
16 0.237791;
16 0.237791;
16 0.218068;
17 0.218068;
18 0.218068;
17 0.218068;
17 0.205035;
16 0.205035;
18 0.205035;
16 0.205035;
17 0.205035;
17 0.197226;
16 0.197226;
17 0.197226;
17 0.195833;
15 0.195833;
18 0.195833;
16 0.195833;
15 0.200829;
18 0.200829;
17 0.200829;
17 0.200829;
17 0.208414;
16 0.208414;
17 0.208414;
16 0.208414;
16 0.208414;
16 0.221081;
19 0.221081;
13 0.221081;
18 0.221081;
17 0.232299;
18 0.232299;
16 0.232299;
17 0.243273;
17 0.243273;
16 0.243273;
17 0.243273;
16 0.255017;
16 0.255017;
16 0.255017;
18 0.255017;
17 0.267565;
16 0.267565;
16 0.267565;
18 0.267565;
17 0.278226;
15 0.278226;
18 0.278226;
17 0.278226;
17 0.285938;
17 0.285938;
15 0.285938;
18 0.285938;
14 0.28976;
19 0.28976;
15 0.28976;
18 0.28976;
16 0.28968;
18 0.28968;
15 0.28968;
19 0.28968;
16 0.289445;
16 0.289445;
16 0.289445;
17 0.289445;
16 0.287128;
17 0.287128;
17 0.287128;
15 0.287128;
17 0.28677;
17 0.28677;
16 0.28677;
17 0.28677;
18 0.286069;
17 0.286069;
15 0.286069;
17 0.286069;
17 0.285639;
16 0.285639;
16 0.285639;
18 0.285639;
16 0.284251;
16 0.284251;
17 0.284251;
17 0.284251;
16 0.260803;
19 0.260803;
15 0.260803;
17 0.260803;
17 0.250558;
17 0.250558;
15 0.250558;
18 0.250558;
17 0.24159;
15 0.24159;
17 0.24159;
17 0.24159;
17 0.235699;
16 0.235699;
16 0.235699;
18 0.235699;
16 0.230946;
15 0.230946;
19 0.230946;
15 0.230946;
17 0.226555;
17 0.226555;
16 0.226555;
17 0.226555;
17 0.223;
17 0.223;
16 0.223;
18 0.223;
17 0.220702;
15 0.220702;
17 0.220702;
17 0.220702;
17 0.219108;
17 0.219108;
17 0.219108;
15 0.219108;
18 0.218027;
22 0.218027;
11 0.218027;
17 0.218027;
22 0.217533;
11 0.217533;
16 0.217533;
21 0.217533;
13 0.217547;
17 0.217547;
17 0.217547;
17 0.217547;
17 0.217799;
16 0.217799;
22 0.217799;
11 0.217799;
15 0.217856;
24 0.217856;
12 0.217856;
16 0.217856;
16 0.217599;
17 0.217599;
17 0.217599;
17 0.217599;
17 0.215881;
17 0.215881;
16 0.215881;
16 0.215881;
17 0.20689;
16 0.20689;
17 0.20689;
16 0.20689;
17 0.194376;
17 0.194376;
17 0.194376;
16 0.194376;
16 0.194376;
16 0.179736;
17 0.179736;
18 0.179736;
16 0.165881;
17 0.165881;
17 0.165881;
16 0.165881;
17 0.123081;
16 0.123081;
18 0.123081;
16 0.123081;
18 0.095947;
16 0.095947;
18 0.095947;
15 0.095947;
18 0.081071;
16 0.081071;
17 0.081071;
16 0.072168;
16 0.06494;
17 0.06494;
16 0.059909;
16 0.059909;
19 0.051766;
15 0.051766;
17 0.051766;
17 0.044224;
15 0.035622;
17 0.035622;
17 0.023799;
16 0.023799;
18 0.017219;
16 0.017219;
17 0.009281;
15 0.009281;
18 0.002572;
17 0.002572;
16 -0.004517;
17 -0.004517;
16 -0.016042;
18 -0.016042;
17 -0.024259;
17 -0.024259;
16 -0.036464;
16 -0.036464;
17 -0.048243;
16 -0.048243;
18 -0.058685;
17 -0.058685;
16 -0.065858;
17 -0.065858;
16 -0.074128;
17 -0.074128;
18 -0.082746;
15 -0.082746;
18 -0.094564;
15 -0.094564;
16 -0.094564;
17 -0.10257;
16 -0.115298;
18 -0.115298;
15 -0.122696;
16 -0.122696;
18 -0.14202;
16 -0.14202;
18 -0.149202;
17 -0.149202;
16 -0.161796;
17 -0.161796;
18 -0.161796;
16 -0.168881;
17 -0.174659;
16 -0.174659;
18 -0.178852;
15 -0.178852;
17 -0.181718;
17 -0.181718;
17 -0.184328;
16 -0.184328;
15 -0.18601;
19 -0.18601;
16 -0.188752;
17 -0.188752;
16 -0.190232;
18 -0.190232;
16 -0.190815;
17 -0.190815;
16 -0.190637;
16 -0.190637;
17 -0.188888;
18 -0.188888;
16 -0.188888;
17 -0.183163;
17 -0.169424;
16 -0.169424;
16 -0.147116;
17 -0.147116;
18 -0.122428;
15 -0.122428;
18 -0.10437;
17 -0.10437;
15 -0.083801;
18 -0.083801;
16 -0.054645;
17 -0.054645;
16 -0.034452;
17 -0.034452;
15 -0.016616;
17 -0.016616;
17 -0.004445;
17 -0.004445;
15 -0.004445;
17 -0.004445;
17 0.015189;
16 0.015189;
17 0.015189;
16 0.015189;
17 0.0294;
16 0.0294;
18 0.0294;
17 0.0294;
16 0.036737;
17 0.036737;
16 0.036737;
17 0.036737;
16 0.036835;
17 0.036835;
17 0.036835;
17 0.036835;
16 0.033096;
16 0.033096;
17 0.033096;
16 0.033096;
18 0.025455;
14 0.025455;
18 0.025455;
17 0.025455;
17 0.016169;
17 0.016169;
16 0.016169;
18 0.016169;
14 0.006896;
19 0.006896;
16 0.006896;
18 0.006896;
16 -0.001913;
16 -0.001913;
18 -0.001913;
16 -0.001913;
17 0.000226;
17 0.000226;
16 0.000226;
17 0.000226;
18 -0.014633;
15 -0.014633;
15 -0.014633;
18 -0.014633;
18 -0.031515;
15 -0.031515;
17 -0.031515;
18 -0.031515;
17 -0.043015;
15 -0.043015;
16 -0.043015;
17 -0.043015;
17 -0.052797;
17 -0.052797;
17 -0.052797;
16 -0.052797;
16 -0.102829;
17 -0.102829;
15 -0.102829;
18 -0.102829;
16 -0.100306;
18 -0.100306;
16 -0.100306;
16 -0.100306;
17 -0.107594;
16 -0.107594;
16 -0.107594;
18 -0.107594;
16 -0.048034;
16 -0.048034;
17 -0.048034;
16 -0.048034;
17 -0.052572;
16 -0.052572;
16 -0.052572;
17 -0.052572;
18 -0.041294;
16 -0.041294;
15 -0.041294;
17 -0.041294;
18 -0.030974;
17 -0.030974;
16 -0.030974;
17 -0.030974;
17 -0.023024;
16 -0.023024;
16 -0.023024;
18 -0.023024;
15 -0.011037;
17 -0.011037;
