track 1;
12 0.134595;
0 0.138784;
17 0.138784;
23 0.142569;
15 0.142569;
16 0.146498;
15 0.146498;
15 0.146498;
23 0.154515;
12 0.154515;
16 0.154515;
17 0.159709;
16 0.159709;
16 0.163885;
16 0.163885;
16 0.166886;
17 0.166886;
17 0.169513;
18 0.169513;
16 0.17207;
17 0.17207;
18 0.174362;
16 0.174362;
16 0.176314;
16 0.176314;
16 0.178104;
17 0.178104;
15 0.18008;
19 0.18008;
16 0.182336;
18 0.182336;
16 0.184739;
18 0.184739;
24 0.187357;
16 0.189814;
16 0.189814;
16 0.189814;
16 0.192324;
16 0.192324;
16 0.194419;
14 0.194419;
16 0.196168;
16 0.196168;
16 0.197685;
18 0.197685;
16 0.198934;
17 0.198934;
16 0.199834;
18 0.199834;
16 0.200424;
18 0.200424;
16 0.200763;
16 0.200763;
17 0.200807;
17 0.200807;
16 0.20034;
17 0.20034;
16 0.198991;
18 0.198991;
16 0.195884;
15 0.195884;
18 0.189325;
16 0.189325;
16 0.180579;
18 0.180579;
16 0.165446;
18 0.165446;
15 0.150306;
17 0.150306;
16 0.13463;
17 0.13463;
16 0.117354;
17 0.117354;
18 0.10308;
16 0.10308;
17 0.089401;
16 0.089401;
17 0.074734;
18 0.074734;
16 0.060455;
18 0.060455;
16 0.045981;
17 0.045981;
22 0.028585;
17 0.011314;
15 0.011314;
16 0.011314;
15 -0.005099;
15 -0.005099;
17 -0.020432;
18 -0.020432;
16 -0.03507;
16 -0.03507;
17 -0.047567;
16 -0.047567;
17 -0.059685;
16 -0.059685;
16 -0.073308;
17 -0.073308;
17 -0.086191;
16 -0.086191;
16 -0.099513;
18 -0.099513;
16 -0.112881;
17 -0.112881;
24 -0.126223;
10 -0.126223;
16 -0.137819;
17 -0.137819;
17 -0.148827;
16 -0.148827;
24 -0.157906;
10 -0.157906;
16 -0.165854;
16 -0.165854;
17 -0.173522;
17 -0.173522;
16 -0.180897;
17 -0.180897;
24 -0.187655;
14 -0.187655;
14 -0.193819;
15 -0.193819;
16 -0.199195;
16 -0.199195;
17 -0.205049;
17 -0.205049;
16 -0.210374;
17 -0.210374;
17 -0.214506;
17 -0.214506;
17 -0.217626;
17 -0.217626;
16 -0.220199;
17 -0.220199;
16 -0.222202;
17 -0.222202;
16 -0.223705;
17 -0.223705;
17 -0.224852;
16 -0.224852;
18 -0.225691;
17 -0.225691;
16 -0.226292;
16 -0.226292;
16 -0.226568;
17 -0.226568;
17 -0.226339;
17 -0.226339;
17 -0.225535;
17 -0.225535;
16 -0.223878;
16 -0.223878;
17 -0.220791;
17 -0.220791;
16 -0.217028;
17 -0.217028;
17 -0.212406;
16 -0.212406;
17 -0.20628;
16 -0.20628;
24 -0.199393;
16 -0.199393;
14 -0.191463;
15 -0.191463;
16 -0.183191;
17 -0.183191;
16 -0.174325;
17 -0.174325;
16 -0.163607;
16 -0.163607;
17 -0.152334;
17 -0.152334;
17 -0.140602;
16 -0.140602;
17 -0.128128;
17 -0.128128;
16 -0.116561;
16 -0.116561;
17 -0.104741;
17 -0.104741;
17 -0.091718;
17 -0.091718;
16 -0.078364;
17 -0.078364;
24 -0.065658;
15 -0.065658;
16 -0.053853;
15 -0.053853;
16 -0.04134;
15 -0.04134;
17 -0.029583;
16 -0.029583;
17 -0.018425;
16 -0.018425;
17 -0.008335;
16 -0.008335;
17 0.001545;
17 0.001545;
25 0.011336;
14 0.011336;
18 0.021298;
11 0.021298;
22 0.030831;
10 0.030831;
16 0.039171;
18 0.039171;
17 0.046497;
16 0.046497;
17 0.052845;
16 0.052845;
17 0.058389;
16 0.058389;
17 0.063102;
16 0.063102;
17 0.06761;
17 0.06761;
17 0.071887;
16 0.071887;
16 0.076101;
17 0.076101;
24 0.080145;
15 0.083693;
16 0.083693;
15 0.083693;
16 0.0868;
14 0.0868;
17 0.089711;
17 0.089711;
15 0.092402;
18 0.092402;
16 0.094872;
17 0.094872;
16 0.097292;
18 0.097292;
16 0.099775;
17 0.099775;
16 0.102531;
17 0.102531;
17 0.105595;
16 0.105595;
17 0.109253;
16 0.109253;
17 0.112937;
15 0.112937;
18 0.116588;
17 0.116588;
17 0.119673;
17 0.119673;
16 0.121995;
17 0.121995;
17 0.123715;
18 0.123715;
15 0.124602;
16 0.124602;
17 0.124009;
17 0.124009;
16 0.121549;
18 0.121549;
16 0.115011;
17 0.115011;
16 0.104747;
17 0.104747;
16 0.090811;
17 0.090811;
16 0.075229;
17 0.075229;
16 0.057043;
18 0.057043;
16 0.040928;
17 0.040928;
17 0.021626;
17 0.021626;
16 0.003152;
16 0.003152;
17 -0.019286;
16 -0.019286;
17 -0.037517;
16 -0.037517;
16 -0.056278;
16 -0.056278;
17 -0.073795;
18 -0.073795;
16 -0.08922;
16 -0.08922;
16 -0.105904;
17 -0.105904;
17 -0.120275;
16 -0.120275;
17 -0.133556;
17 -0.133556;
17 -0.145957;
17 -0.145957;
16 -0.157161;
16 -0.157161;
18 -0.167647;
18 -0.167647;
15 -0.175938;
17 -0.175938;
16 -0.183831;
17 -0.183831;
16 -0.189979;
17 -0.189979;
17 -0.195248;
16 -0.195248;
17 -0.199275;
17 -0.199275;
16 -0.202477;
16 -0.202477;
18 -0.204807;
17 -0.204807;
16 -0.206346;
16 -0.206346;
18 -0.207239;
16 -0.207239;
17 -0.207633;
17 -0.207633;
16 -0.207713;
17 -0.207713;
16 -0.207397;
17 -0.207397;
17 -0.206889;
14 -0.206889;
19 -0.206215;
16 -0.206215;
17 -0.205365;
17 -0.205365;
17 -0.204316;
17 -0.204316;
16 -0.202664;
18 -0.202664;
15 -0.200656;
17 -0.200656;
16 -0.197789;
17 -0.197789;
15 -0.193623;
18 -0.193623;
16 -0.188055;
16 -0.188055;
18 -0.181214;
17 -0.181214;
16 -0.172375;
18 -0.172375;
16 -0.164228;
17 -0.164228;
16 -0.156223;
17 -0.156223;
14 -0.148303;
19 -0.148303;
17 -0.140308;
17 -0.140308;
16 -0.132072;
18 -0.132072;
15 -0.123576;
17 -0.123576;
16 -0.115695;
17 -0.115695;
16 -0.107574;
17 -0.107574;
17 -0.098378;
17 -0.098378;
16 -0.090694;
17 -0.090694;
16 -0.083716;
17 -0.083716;
17 -0.076603;
16 -0.076603;
17 -0.070866;
17 -0.070866;
16 -0.066377;
17 -0.066377;
17 -0.062865;
15 -0.062865;
19 -0.059807;
16 -0.059807;
17 -0.057099;
17 -0.057099;
17 -0.054774;
17 -0.054774;
17 -0.052522;
16 -0.052522;
19 -0.050307;
15 -0.050307;
16 -0.047446;
23 -0.042789;
18 -0.042789;
16 -0.042789;
14 -0.036587;
16 -0.036587;
16 -0.029029;
16 -0.029029;
16 -0.01927;
15 -0.01927;
17 -0.008105;
16 -0.008105;
17 0.001213;
17 0.001213;
16 0.008461;
19 0.008461;
16 0.014671;
16 0.014671;
16 0.019676;
17 0.019676;
17 0.023667;
16 0.023667;
16 0.027101;
18 0.027101;
16 0.029882;
17 0.029882;
16 0.032205;
16 0.032205;
18 0.03409;
17 0.03409;
17 0.034844;
16 0.034844;
18 0.034186;
16 0.034186;
16 0.031707;
17 0.031707;
16 0.026887;
17 0.026887;
16 0.020499;
16 0.020499;
18 0.011095;
17 0.011095;
17 0.002839;
16 0.002839;
17 -0.006809;
16 -0.006809;
17 -0.016661;
16 -0.016661;
16 -0.027419;
18 -0.027419;
16 -0.039255;
18 -0.039255;
16 -0.049838;
16 -0.049838;
17 -0.063995;
16 -0.063995;
18 -0.081898;
16 -0.081898;
19 -0.097259;
16 -0.097259;
15 -0.112153;
18 -0.112153;
16 -0.123877;
17 -0.123877;
15 -0.137752;
18 -0.137752;
16 -0.151481;
17 -0.151481;
17 -0.164225;
17 -0.164225;
17 -0.177247;
17 -0.177247;
16 -0.191902;
17 -0.191902;
17 -0.204113;
16 -0.204113;
17 -0.215451;
17 -0.215451;
16 -0.226055;
17 -0.226055;
17 -0.235659;
16 -0.235659;
17 -0.244886;
17 -0.244886;
16 -0.252781;
18 -0.252781;
16 -0.258854;
18 -0.258854;
16 -0.263532;
16 -0.263532;
17 -0.267656;
18 -0.267656;
16 -0.270869;
16 -0.270869;
16 -0.273411;
17 -0.273411;
17 -0.275348;
17 -0.275348;
17 -0.276771;
17 -0.276771;
16 -0.277462;
17 -0.277462;
16 -0.277175;
17 -0.277175;
17 -0.275193;
17 -0.275193;
15 -0.271298;
17 -0.271298;
16 -0.26656;
17 -0.26656;
16 -0.261494;
17 -0.261494;
17 -0.25577;
17 -0.25577;
17 -0.249952;
17 -0.249952;
16 -0.244967;
17 -0.244967;
18 -0.240119;
16 -0.240119;
16 -0.235583;
16 -0.235583;
17 -0.231583;
16 -0.231583;
17 -0.228311;
16 -0.228311;
17 -0.225609;
16 -0.225609;
16 -0.223476;
17 -0.223476;
17 -0.221515;
16 -0.221515;
15 -0.219734;
19 -0.219734;
17 -0.218042;
16 -0.218042;
17 -0.216601;
16 -0.216601;
17 -0.21543;
16 -0.21543;
17 -0.214448;
17 -0.214448;
16 -0.213601;
16 -0.213601;
17 -0.212925;
16 -0.212925;
18 -0.212403;
17 -0.212403;
17 -0.212035;
15 -0.212035;
16 -0.211856;
17 -0.211856;
16 -0.211841;
17 -0.211841;
16 -0.212035;
17 -0.212035;
16 -0.212439;
17 -0.212439;
16 -0.213114;
17 -0.213114;
17 -0.213939;
17 -0.213939;
16 -0.215039;
18 -0.215039;
25 -0.216219;
16 -0.217423;
14 -0.217423;
17 -0.217423;
15 -0.218648;
16 -0.218648;
15 -0.219777;
16 -0.219777;
16 -0.220858;
16 -0.220858;
18 -0.221852;
16 -0.221852;
17 -0.222906;
17 -0.222906;
17 -0.223986;
16 -0.223986;
16 -0.224952;
17 -0.224952;
17 -0.225832;
16 -0.225832;
16 -0.226611;
17 -0.226611;
17 -0.227336;
17 -0.227336;
15 -0.227965;
